Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
09/25/2026 21:27:06,System.Runtime,CPU Usage (%),Metric,0
09/25/2026 21:27:06,System.Runtime,Working Set (MB),Metric,350.175232
09/25/2026 21:27:06,System.Runtime,GC Heap Size (MB),Metric,63.621376
09/25/2026 21:27:08,System.Runtime,CPU Usage (%),Metric,3.3203125
09/25/2026 21:27:08,System.Runtime,Working Set (MB),Metric,352.19456
09/25/2026 21:27:08,System.Runtime,GC Heap Size (MB),Metric,64.722064
09/25/2026 21:27:08,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:08,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:08,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:08,System.Runtime,Gen 0 GC Budget (MB),Metric,1
09/25/2026 21:27:08,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:08,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,224
09/25/2026 21:27:08,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:08,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,400
09/25/2026 21:27:08,System.Runtime,Allocation Rate (B / 2 sec),Rate,1064752
09/25/2026 21:27:08,System.Runtime,Number of Active Timers,Metric,12
09/25/2026 21:27:08,System.Runtime,GC Fragmentation (%),Metric,2.125192550961533
09/25/2026 21:27:08,System.Runtime,GC Committed Bytes (MB),Metric,74.69056
09/25/2026 21:27:08,System.Runtime,Exception Count (Count / 2 sec),Rate,0
09/25/2026 21:27:08,System.Runtime,% Time in GC since last GC (%),Metric,0
09/25/2026 21:27:08,System.Runtime,Time paused by GC (ms / 2 sec),Rate,0
09/25/2026 21:27:08,System.Runtime,Gen 0 Size (B),Metric,77752
09/25/2026 21:27:08,System.Runtime,Gen 1 Size (B),Metric,638448
09/25/2026 21:27:08,System.Runtime,Gen 2 Size (B),Metric,23502600
09/25/2026 21:27:08,System.Runtime,LOH Size (B),Metric,39507648
09/25/2026 21:27:08,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:08,System.Runtime,Number of Assemblies Loaded,Metric,131
09/25/2026 21:27:08,System.Runtime,IL Bytes Jitted (B),Metric,1326363
09/25/2026 21:27:08,System.Runtime,Number of Methods Jitted,Metric,13525
09/25/2026 21:27:08,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,218.53190000000086
09/25/2026 21:27:06,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,2
09/25/2026 21:27:06,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:06,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:06,System.Runtime,Gen 0 GC Budget (MB),Metric,1
09/25/2026 21:27:06,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:06,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,47
09/25/2026 21:27:06,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:06,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,410
09/25/2026 21:27:06,System.Runtime,Allocation Rate (B / 2 sec),Rate,1294992
09/25/2026 21:27:06,System.Runtime,Number of Active Timers,Metric,12
09/25/2026 21:27:06,System.Runtime,GC Fragmentation (%),Metric,2.125192550961533
09/25/2026 21:27:06,System.Runtime,GC Committed Bytes (MB),Metric,74.69056
09/25/2026 21:27:06,System.Runtime,Exception Count (Count / 2 sec),Rate,0
09/25/2026 21:27:06,System.Runtime,% Time in GC since last GC (%),Metric,0
09/25/2026 21:27:06,System.Runtime,Time paused by GC (ms / 2 sec),Rate,2.9079999999999586
09/25/2026 21:27:06,System.Runtime,Gen 0 Size (B),Metric,77752
09/25/2026 21:27:06,System.Runtime,Gen 1 Size (B),Metric,638448
09/25/2026 21:27:06,System.Runtime,Gen 2 Size (B),Metric,23502600
09/25/2026 21:27:06,System.Runtime,LOH Size (B),Metric,39507648
09/25/2026 21:27:06,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:06,System.Runtime,Number of Assemblies Loaded,Metric,131
09/25/2026 21:27:06,System.Runtime,IL Bytes Jitted (B),Metric,1298979
09/25/2026 21:27:06,System.Runtime,Number of Methods Jitted,Metric,13298
09/25/2026 21:27:06,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,104.40889999999945
09/25/2026 21:27:10,System.Runtime,CPU Usage (%),Metric,1.5625
09/25/2026 21:27:10,System.Runtime,Working Set (MB),Metric,353.3824
09/25/2026 21:27:10,System.Runtime,GC Heap Size (MB),Metric,64.473648
09/25/2026 21:27:10,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:10,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:10,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:10,System.Runtime,Gen 0 GC Budget (MB),Metric,2
09/25/2026 21:27:10,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:10,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,246
09/25/2026 21:27:10,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:10,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,402
09/25/2026 21:27:10,System.Runtime,Allocation Rate (B / 2 sec),Rate,1237224
09/25/2026 21:27:10,System.Runtime,Number of Active Timers,Metric,12
09/25/2026 21:27:10,System.Runtime,GC Fragmentation (%),Metric,2.0947021688809304
09/25/2026 21:27:10,System.Runtime,GC Committed Bytes (MB),Metric,74.686464
09/25/2026 21:27:10,System.Runtime,Exception Count (Count / 2 sec),Rate,0
09/25/2026 21:27:10,System.Runtime,% Time in GC since last GC (%),Metric,0
09/25/2026 21:27:10,System.Runtime,Time paused by GC (ms / 2 sec),Rate,1.4430000000000405
09/25/2026 21:27:10,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:10,System.Runtime,Gen 1 Size (B),Metric,751736
09/25/2026 21:27:10,System.Runtime,Gen 2 Size (B),Metric,23502600
09/25/2026 21:27:10,System.Runtime,LOH Size (B),Metric,39507648
09/25/2026 21:27:10,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:10,System.Runtime,Number of Assemblies Loaded,Metric,132
09/25/2026 21:27:10,System.Runtime,IL Bytes Jitted (B),Metric,1336444
09/25/2026 21:27:10,System.Runtime,Number of Methods Jitted,Metric,13657
09/25/2026 21:27:10,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,50.42999999999938
09/25/2026 21:27:12,System.Runtime,CPU Usage (%),Metric,21.875
09/25/2026 21:27:12,System.Runtime,Working Set (MB),Metric,384.688128
09/25/2026 21:27:12,System.Runtime,GC Heap Size (MB),Metric,68.89336
09/25/2026 21:27:12,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,4
09/25/2026 21:27:12,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:12,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:12,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:12,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:12,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,102
09/25/2026 21:27:12,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:12,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,416
09/25/2026 21:27:12,System.Runtime,Allocation Rate (B / 2 sec),Rate,15878352
09/25/2026 21:27:12,System.Runtime,Number of Active Timers,Metric,12
09/25/2026 21:27:12,System.Runtime,GC Fragmentation (%),Metric,2.082533447872328
09/25/2026 21:27:12,System.Runtime,GC Committed Bytes (MB),Metric,74.69056
09/25/2026 21:27:12,System.Runtime,Exception Count (Count / 2 sec),Rate,0
09/25/2026 21:27:12,System.Runtime,% Time in GC since last GC (%),Metric,3
09/25/2026 21:27:12,System.Runtime,Time paused by GC (ms / 2 sec),Rate,36.12899999999996
09/25/2026 21:27:12,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:12,System.Runtime,Gen 1 Size (B),Metric,5391368
09/25/2026 21:27:12,System.Runtime,Gen 2 Size (B),Metric,23502600
09/25/2026 21:27:12,System.Runtime,LOH Size (B),Metric,39507648
09/25/2026 21:27:12,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:12,System.Runtime,Number of Assemblies Loaded,Metric,132
09/25/2026 21:27:12,System.Runtime,IL Bytes Jitted (B),Metric,1477779
09/25/2026 21:27:12,System.Runtime,Number of Methods Jitted,Metric,15186
09/25/2026 21:27:12,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,943.3746000000001
09/25/2026 21:27:14,System.Runtime,CPU Usage (%),Metric,23.6328125
09/25/2026 21:27:14,System.Runtime,Working Set (MB),Metric,436.14208
09/25/2026 21:27:14,System.Runtime,GC Heap Size (MB),Metric,77.41252
09/25/2026 21:27:14,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,4
09/25/2026 21:27:14,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,2
09/25/2026 21:27:14,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:14,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:14,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:14,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,112
09/25/2026 21:27:14,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:14,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,443
09/25/2026 21:27:14,System.Runtime,Allocation Rate (B / 2 sec),Rate,23814712
09/25/2026 21:27:14,System.Runtime,Number of Active Timers,Metric,15
09/25/2026 21:27:14,System.Runtime,GC Fragmentation (%),Metric,0.6330104668055878
09/25/2026 21:27:14,System.Runtime,GC Committed Bytes (MB),Metric,84.779008
09/25/2026 21:27:14,System.Runtime,Exception Count (Count / 2 sec),Rate,10
09/25/2026 21:27:14,System.Runtime,% Time in GC since last GC (%),Metric,8
09/25/2026 21:27:14,System.Runtime,Time paused by GC (ms / 2 sec),Rate,71.94200000000001
09/25/2026 21:27:14,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:14,System.Runtime,Gen 1 Size (B),Metric,1815584
09/25/2026 21:27:14,System.Runtime,Gen 2 Size (B),Metric,29876336
09/25/2026 21:27:14,System.Runtime,LOH Size (B),Metric,39616872
09/25/2026 21:27:14,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:14,System.Runtime,Number of Assemblies Loaded,Metric,132
09/25/2026 21:27:14,System.Runtime,IL Bytes Jitted (B),Metric,1606359
09/25/2026 21:27:14,System.Runtime,Number of Methods Jitted,Metric,16737
09/25/2026 21:27:14,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,746.0218999999997
09/25/2026 21:27:16,System.Runtime,CPU Usage (%),Metric,24.21875
09/25/2026 21:27:16,System.Runtime,Working Set (MB),Metric,439.574528
09/25/2026 21:27:16,System.Runtime,GC Heap Size (MB),Metric,75.31168
09/25/2026 21:27:16,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:16,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:16,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:16,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:16,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:16,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,105
09/25/2026 21:27:16,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:16,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,406
09/25/2026 21:27:16,System.Runtime,Allocation Rate (B / 2 sec),Rate,2313288
09/25/2026 21:27:16,System.Runtime,Number of Active Timers,Metric,15
09/25/2026 21:27:16,System.Runtime,GC Fragmentation (%),Metric,0.6487147405081882
09/25/2026 21:27:16,System.Runtime,GC Committed Bytes (MB),Metric,84.8896
09/25/2026 21:27:16,System.Runtime,Exception Count (Count / 2 sec),Rate,0
09/25/2026 21:27:16,System.Runtime,% Time in GC since last GC (%),Metric,1
09/25/2026 21:27:16,System.Runtime,Time paused by GC (ms / 2 sec),Rate,13.388000000000034
09/25/2026 21:27:16,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:16,System.Runtime,Gen 1 Size (B),Metric,3668920
09/25/2026 21:27:16,System.Runtime,Gen 2 Size (B),Metric,29876336
09/25/2026 21:27:16,System.Runtime,LOH Size (B),Metric,39726096
09/25/2026 21:27:16,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:16,System.Runtime,Number of Assemblies Loaded,Metric,132
09/25/2026 21:27:16,System.Runtime,IL Bytes Jitted (B),Metric,1797556
09/25/2026 21:27:16,System.Runtime,Number of Methods Jitted,Metric,18957
09/25/2026 21:27:16,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,1658.361100000001
09/25/2026 21:27:18,System.Runtime,CPU Usage (%),Metric,23.046875
09/25/2026 21:27:18,System.Runtime,Working Set (MB),Metric,535.98208
09/25/2026 21:27:18,System.Runtime,GC Heap Size (MB),Metric,84.988456
09/25/2026 21:27:18,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,3
09/25/2026 21:27:18,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:18,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:18,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:18,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:18,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,146
09/25/2026 21:27:18,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:18,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,424
09/25/2026 21:27:18,System.Runtime,Allocation Rate (B / 2 sec),Rate,18560296
09/25/2026 21:27:18,System.Runtime,Number of Active Timers,Metric,17
09/25/2026 21:27:18,System.Runtime,GC Fragmentation (%),Metric,0.5979455603353689
09/25/2026 21:27:18,System.Runtime,GC Committed Bytes (MB),Metric,86.708224
09/25/2026 21:27:18,System.Runtime,Exception Count (Count / 2 sec),Rate,8
09/25/2026 21:27:18,System.Runtime,% Time in GC since last GC (%),Metric,1
09/25/2026 21:27:18,System.Runtime,Time paused by GC (ms / 2 sec),Rate,44.75399999999996
09/25/2026 21:27:18,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:18,System.Runtime,Gen 1 Size (B),Metric,4182192
09/25/2026 21:27:18,System.Runtime,Gen 2 Size (B),Metric,33259120
09/25/2026 21:27:18,System.Runtime,LOH Size (B),Metric,41544600
09/25/2026 21:27:18,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:18,System.Runtime,Number of Assemblies Loaded,Metric,135
09/25/2026 21:27:18,System.Runtime,IL Bytes Jitted (B),Metric,2021060
09/25/2026 21:27:18,System.Runtime,Number of Methods Jitted,Metric,21488
09/25/2026 21:27:18,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,579.7271000000001
09/25/2026 21:27:20,System.Runtime,CPU Usage (%),Metric,25.9765625
09/25/2026 21:27:20,System.Runtime,Working Set (MB),Metric,536.18688
09/25/2026 21:27:20,System.Runtime,GC Heap Size (MB),Metric,82.922752
