"Fase","WS_MB","Priv_MB","CPU_pct","Hilos","Handles","Hijos","HijosWS_MB"
"inicio","340,3","224,3","26,2","38","988","1","68,2"
"A reposo galeria","340,3","224,4","1,1","38","992","1","68,2"
"A reposo galeria","336,6","220,7","0,7","38","994","1","68,2"
"A reposo galeria","337","220,8","1,7","38","991","1","68,2"
"A reposo galeria","337","220,8","0","38","991","1","68,2"
"B scroll galeria","429,2","310,3","19","36","981","1","68,2"
"B scroll galeria","425,2","306,1","1","35","980","1","68,2"
"B scroll galeria","423,5","304,4","0,5","35","980","1","68,2"
"B scroll galeria","392,2","273,1","0","35","977","1","68,2"
"C buscar y abrir ficha","435,9","309,9","16,7","36","1003","1","68,2"
"C buscar y abrir ficha","437,5","310,3","16,9","36","1006","1","68,2"
"C buscar y abrir ficha","434,6","307,2","6,2","36","1006","1","68,2"
"D reproduciendo (video)","516,6","387,2","15,5","50","1218","1","73,5"
"D reproduciendo (video)","526,5","391,7","21,8","50","1218","1","75"
"D reproduciendo (video)","527,4","392,1","8","50","1218","1","68,7"
"D reproduciendo (video)","527,5","392,1","8,4","50","1218","1","68,7"
"D reproduciendo (video)","533,2","399,1","11,5","50","1218","1","68,7"
"D reproduciendo (video)","533,6","399,4","6,7","50","1218","1","68,7"
"D reproduciendo (video)","533,5","399,3","11,1","50","1218","1","68,7"
"D reproduciendo (video)","529,2","394,9","5,8","50","1222","1","68,7"
"D reproduciendo (video)","529,6","395","11,7","51","1229","1","68,7"
"D reproduciendo (video)","531,4","395,1","7,4","50","1223","1","68,7"
"D reproduciendo (video)","531,4","395,1","5,4","50","1225","1","68,7"
"D reproduciendo (video)","532,9","396,3","8,6","50","1225","1","68,7"
"D reproduciendo (video)","533","396,4","5,1","50","1228","1","68,7"
"D reproduciendo (video)","534,3","399,9","13,9","50","1237","1","68,7"
"D reproduciendo (video)","572,3","436,3","23,9","51","1253","1","68,7"
"D reproduciendo (video)","581","441,2","11","51","1250","1","68,7"
"D reproduciendo (video)","580,4","440,3","7,7","52","1243","1","68,7"
"D reproduciendo (video)","571","434,8","9","52","1243","1","68,7"
"D reproduciendo (video)","572,1","436,1","5,5","49","1229","1","68,7"
"E tras cerrar player","528,7","389,5","9,7","38","1121","1","68,7"
"E tras cerrar player","528,5","389,4","6,5","38","1121","1","68,7"
"E tras cerrar player","528,5","389,4","5","38","1121","1","68,7"
"E tras cerrar player","482,9","333","5,9","37","1118","1","68,7"
"E tras cerrar player","482,6","332,6","3,9","37","1118","1","68,7"
"E tras cerrar player","475,3","320,6","5,4","37","1118","1","68,7"
"E tras cerrar player","473","319,1","5,1","35","1118","1","68,7"
"F navegar Config/Estad","495,1","341,2","9,8","35","1126","1","68,7"
"F navegar Config/Estad","477,9","324","0","35","1123","1","68,7"
"F navegar Config/Estad","471,1","317,1","0","34","1120","1","68,7"
"F navegar Config/Estad","465,6","307,6","0,2","34","1120","1","68,7"
"F navegar Config/Estad","465,6","307,7","0","35","1125","1","68,7"
"G reposo final","465,6","307,7","0","35","1125","1","68,7"
"G reposo final","465,6","307,6","0","34","1122","1","68,7"
"G reposo final","465,6","307,6","0,2","34","1122","1","68,7"
"G reposo final","465,6","307,6","0,2","33","1115","1","68,7"
